Fecha_Hora,Temperatura_Ambiente,Dia_Semana,Es_Fin_Semana,Es_Festivo,Demanda_MW
2026-01-01 00:00:00,5.462271922591741,3,0,1,275.5851730634024
2026-01-01 01:00:00,0.664378138255892,3,0,1,394.58354751934246
2026-01-01 02:00:00,1.3674392807571405,3,0,1,377.952272783905
2026-01-01 03:00:00,0.22282426898366792,3,0,1,428.09751497232173
2026-01-01 04:00:00,0.6622150660528887,3,0,1,425.05467932370436
2026-01-01 05:00:00,0.8799327532111096,3,0,1,417.44180407474676
2026-01-01 06:00:00,6.128833703039267,3,0,1,326.7640629492955
2026-01-01 07:00:00,7.038529504629552,3,0,1,299.7206083675882
2026-01-01 08:00:00,4.74719153337863,3,0,1,360.21770805591353
2026-01-01 09:00:00,9.992044668111276,3,0,1,249.2513924451321
2026-01-01 10:00:00,12.357609598050127,3,0,1,207.17938996100372
2026-01-01 11:00:00,16.02118614994985,3,0,1,163.40429193546052
2026-01-01 12:00:00,15.119229220063264,3,0,1,169.64026463025513
2026-01-01 13:00:00,14.003577349101889,3,0,1,189.96013401855404
2026-01-01 14:00:00,13.037669365437994,3,0,1,206.78948446931443
2026-01-01 15:00:00,15.496012020190898,3,0,1,178.2331722943105
2026-01-01 16:00:00,16.103001755518797,3,0,1,170.64733673327189
2026-01-01 17:00:00,14.358115558281504,3,0,1,182.06777035946652
2026-01-01 18:00:00,11.331123214316545,3,0,1,225.98122678799675
2026-01-01 19:00:00,10.58295102669445,3,0,1,221.97653667293247
2026-01-01 20:00:00,5.326128628434187,3,0,1,316.44941357520094
2026-01-01 21:00:00,7.572808002799965,3,0,1,250.7559536156803
2026-01-01 22:00:00,7.785709650136919,3,0,1,236.1883064589505
2026-01-01 23:00:00,3.6307033459795033,3,0,1,316.6982492485792
2026-01-02 00:00:00,3.0471843003624843,4,0,0,376.3690815249389
2026-01-02 01:00:00,4.619650118663797,4,0,0,340.5706530806063
2026-01-02 02:00:00,1.995919570179447,4,0,0,418.2493873882918
2026-01-02 03:00:00,5.460036531229896,4,0,0,341.9947213514501
2026-01-02 04:00:00,3.512833148737848,4,0,0,410.6378631480685
2026-01-02 05:00:00,5.832414578333382,4,0,0,378.7653275430767
2026-01-02 06:00:00,4.228632974464106,4,0,0,419.2204221460378
2026-01-02 07:00:00,7.486721730953516,4,0,0,363.35553802117033
2026-01-02 08:00:00,11.373165774903205,4,0,0,284.35074996329377
2026-01-02 09:00:00,6.900987979089637,4,0,0,375.3226470394242
2026-01-02 10:00:00,13.857967400421927,4,0,0,260.4641064326293
2026-01-02 11:00:00,8.063932132180549,4,0,0,342.3869485737214
2026-01-02 12:00:00,12.936512547842037,4,0,0,263.057239560723
2026-01-02 13:00:00,15.058600856463073,4,0,0,243.27433002011475
2026-01-02 14:00:00,12.826923871410026,4,0,0,280.928086064962
2026-01-02 15:00:00,14.376995119689775,4,0,0,259.10673123861096
2026-01-02 16:00:00,15.724359153850513,4,0,0,241.4163547953539
2026-01-02 17:00:00,12.82271025087404,4,0,0,284.825001480536
2026-01-02 18:00:00,7.059423005326773,4,0,0,364.3502186132407
2026-01-02 19:00:00,11.160726048495183,4,0,0,282.62141470719615
2026-01-02 20:00:00,10.061100667906782,4,0,0,278.7873704431349
2026-01-02 21:00:00,6.683281600911191,4,0,0,322.14477312492414
2026-01-02 22:00:00,4.956293345333366,4,0,0,341.5062307273396
2026-01-02 23:00:00,3.8510407406063316,4,0,0,358.5067759515674
2026-01-03 00:00:00,-0.453658140958745,5,1,0,409.5611160627784
2026-01-03 01:00:00,1.4197238612990848,5,1,0,375.87754365654695
2026-01-03 02:00:00,5.401945410838437,5,1,0,301.70954037613626
2026-01-03 03:00:00,4.32710455273515,5,1,0,325.1947104656421
2026-01-03 04:00:00,4.195454725084356,5,1,0,338.04795039562606
2026-01-03 05:00:00,2.8853821723924216,5,1,0,386.7609422172356
2026-01-03 06:00:00,4.334116759396728,5,1,0,366.09649795849805
2026-01-03 07:00:00,7.651354856101783,5,1,0,305.75780913911046
